phase,elapsed_s,visited,symbol,rss_kb,cpu_pct
idle,1,0,-,275840,6.1
visit,2,1,AAPL,318256,13.7
visit,3,2,MSFT,324336,18.7
visit,4,3,NVDA,327520,8.4
visit,5,4,TSLA,327872,7.4
visit,6,5,AMZN,334848,8.5
visit,7,6,GOOGL,346288,17.6
visit,8,7,META,359488,7.7
visit,9,8,AMD,359808,2.7
visit,10,9,INTC,360016,1.0
visit,11,10,JPM,379200,30.4
visit,12,11,BAC,398096,18.7
visit,13,12,WFC,403968,11.2
visit,14,13,GS,406352,14.1
visit,16,14,MS,401072,2.0
visit,17,15,C,374912,6.9
visit,18,16,V,376608,13.6
visit,19,17,MA,376336,5.0
visit,20,18,AXP,379568,8.1
visit,21,19,PYPL,379472,5.5
visit,22,20,SQ,381440,9.3
visit,23,21,XOM,381504,2.3
visit,24,22,CVX,381504,1.6
visit,25,23,COP,390368,23.8
visit,26,24,SLB,398752,29.6
visit,27,25,OXY,404560,11.9
visit,28,26,PSX,418272,32.7
visit,29,27,VLO,421328,10.5
visit,30,28,MPC,423392,26.8
visit,32,29,KMI,430032,25.9
visit,33,30,WMB,456096,19.6
visit,34,31,JNJ,456448,3.2
visit,35,32,PFE,456448,1.7
visit,36,33,MRK,455248,5.6
visit,37,34,ABBV,463120,21.9
visit,38,35,LLY,465008,8.8
visit,39,36,BMY,465616,1.8
visit,40,37,AMGN,468160,19.3
visit,41,38,GILD,473648,6.7
visit,42,39,TMO,478528,3.4
visit,43,40,DHR,480144,22.5
visit,44,41,WMT,479728,24.7
visit,45,42,COST,482848,22.1
visit,46,43,TGT,458912,12.6
visit,48,44,HD,473104,23.8
visit,49,45,LOW,475200,17.3
visit,50,46,NKE,478736,10.5
visit,51,47,SBUX,485264,18.3
visit,52,48,MCD,493696,5.4
visit,53,49,KO,493024,20.1
visit,54,50,PEP,498768,13.6
visit,55,51,PG,500288,22.3
visit,56,52,CL,501216,9.4
visit,57,53,KMB,520784,22.3
visit,58,54,GIS,521888,8.8
visit,59,55,K,524880,16.5
visit,60,56,HSY,524992,5.0
visit,61,57,GIS,525632,3.8
visit,62,58,GM,524768,10.1
visit,63,59,F,525792,5.3
visit,64,60,RIVN,529424,17.0
visit,66,61,BA,529680,17.1
visit,67,62,LMT,532512,18.9
visit,68,63,RTX,532512,7.4
visit,69,64,NOC,532832,30.1
visit,70,65,GD,534240,9.1
visit,71,66,HON,538608,18.6
visit,72,67,GE,538592,14.0
visit,73,68,CAT,541056,30.8
visit,74,69,DE,542608,22.7
visit,75,70,MMM,544560,11.8
visit,76,71,T,542944,3.5
visit,77,72,VZ,543952,32.3
visit,78,73,TMUS,547376,16.9
visit,79,74,CMCSA,548880,5.8
visit,80,75,DIS,548576,3.1
visit,81,76,NFLX,548848,13.2
visit,82,77,PARA,550992,4.4
visit,84,78,WBD,549680,13.2
visit,85,79,ROKU,550224,28.1
visit,86,80,SPOT,552880,22.5
visit,87,81,CRM,553056,18.1
visit,88,82,ORCL,554176,14.9
visit,89,83,SAP,554224,8.8
visit,90,84,ADBE,560096,23.8
visit,91,85,NOW,553008,3.4
visit,92,86,SNOW,545856,14.8
visit,93,87,DDOG,548064,5.1
visit,94,88,NET,546768,2.1
visit,95,89,CRWD,548416,11.1
visit,96,90,PANW,548416,2.3
visit,97,91,UNH,547072,17.2
visit,98,92,CI,557296,14.4
visit,99,93,CVS,557216,18.6
visit,100,94,HUM,569424,38.2
visit,102,95,ELV,571296,10.0
visit,103,96,CNC,574160,8.8
visit,104,97,MCK,572464,22.1
visit,105,98,ABC,575376,11.8
visit,106,99,ZTS,580368,25.6
visit,107,100,ISRG,580608,13.6
visit,108,101,LIN,580432,32.0
visit,109,102,APD,586704,35.2
visit,110,103,SHW,586880,28.0
visit,111,104,ECL,575392,38.1
visit,112,105,NEM,576032,13.0
visit,113,106,FCX,575904,27.4
visit,114,107,NUE,576272,14.6
visit,115,108,STLD,580880,8.6
visit,116,109,CLF,579072,7.5
visit,117,110,X,580704,6.2
visit,119,111,SPG,619344,23.2
visit,120,112,O,620560,10.4
visit,121,113,PLD,617200,12.6
visit,122,114,AMT,618208,28.3
visit,123,115,CCI,619904,9.4
visit,124,116,EQIX,636432,18.6
visit,125,117,DLR,644256,23.3
visit,126,118,PSA,648448,37.0
visit,127,119,AVB,662224,27.3
visit,128,120,EQR,670400,40.7
visit,129,121,UBER,671248,12.6
visit,130,122,LYFT,668704,24.2
visit,131,123,ABNB,669456,4.5
visit,132,124,DASH,670096,15.3
visit,133,125,SHOP,667552,8.5
visit,134,126,TWLO,668992,11.4
visit,135,127,ZM,667776,13.1
visit,137,128,DOCU,667840,16.0
visit,138,129,OKTA,664768,15.1
visit,139,130,MDB,665408,58.6
settle,139,130,-,665408,58.6
settle,142,130,-,657712,8.4
settle,145,130,-,657632,5.2
settle,148,130,-,657632,4.8
settle,151,130,-,648096,1.7
settle,154,130,-,648096,5.1
settle,157,130,-,514032,3.6
settle,160,130,-,514032,3.2
settle,163,130,-,514032,4.2
settle,166,130,-,514032,2.1
